# (priority) meanTasklength meanRealWCLength meanProcWorkload meanProcRatio minProcRatio
tr 2579.4517 9980.169 9791.0 0.92497504 0.5507433
=pc 4 952.4605 2504.9014 2437.4604 0.9245722 0.800319
--job 100.0 716.5 642.5 0.8967202 0.8967202
--job 66.625 334.0 296.67432 0.8882465 0.8882465
--job 1224.875 1290.375 1221.4395 0.94657713 0.94657713
--job 176.6875 417.125 381.35208 0.91423935 0.91423935
--job 66.53125 176.07812 155.80023 0.88483584 0.88483584
--job 188.375 237.625 212.6747 0.89500135 0.89500135
--job 620.75 942.625 884.83154 0.9386888 0.9386888
--job 1146.0 8297.875 8032.011 0.96796 0.96796
--job 1235.0938 1296.7031 1256.6462 0.96910864 0.96910864
--job 1292.8125 1372.3125 1301.9492 0.9487265 0.9487265
--job 34.8125 81.6875 65.37606 0.800319 0.800319
--job 102.375 150.875 136.68054 0.9059191 0.9059191
--job 3050.9375 8237.6875 8078.6934 0.9806992 0.9806992
--job 1221.5 1308.0 1239.7985 0.94785815 0.94785815
--job 1227.625 1290.125 1253.8118 0.97185296 0.97185296
--job 433.6875 1236.0 1146.6316 0.92769545 0.92769545
--job 704.625 7499.25 7213.789 0.96193475 0.96193475
--job 579.5 650.0 623.24744 0.9588422 0.9588422
--job 278.75 445.375 409.75787 0.9200289 0.9200289
--job 1282.75 1347.75 1283.5426 0.95235956 0.95235956
--job 117.625 284.125 251.95505 0.8867754 0.8867754
--job 68.375 110.5 97.276344 0.8803289 0.8803289
--job 29.25 100.0 82.79163 0.8279163 0.8279163
--job 169.59375 225.6875 209.39037 0.9277889 0.9277889
--job 315.53125 385.07812 352.52124 0.9154538 0.9154538
--job 393.375 483.125 444.58994 0.9202379 0.9202379
--job 278.625 369.125 337.57303 0.91452223 0.91452223
--job 268.75 4282.6255 4031.1726 0.9412854 0.9412854
--job 1223.8125 1275.3125 1206.9231 0.9463744 0.9463744
--job 234.75 672.5 627.57324 0.9331944 0.9331944
--job 173.25 216.75 199.6118 0.92093104 0.92093104
--job 1242.1875 1340.75 1296.1262 0.9667173 0.9667173
--job 447.0 574.375 546.3648 0.9512336 0.9512336
--job 110.125 150.625 133.44046 0.88591176 0.88591176
--job 1223.5 1314.25 1245.0212 0.9473245 0.9473245
--job 101.125 141.375 128.81091 0.91112936 0.91112936
--job 370.5625 467.5 440.6875 0.94264704 0.94264704
--job 1218.25 1270.5625 1205.0294 0.948422 0.948422
--job 557.65625 1209.125 1133.0908 0.9371164 0.9371164
--job 1216.625 1277.875 1213.1748 0.9493689 0.9493689
--job 52.1875 194.375 168.13728 0.865015 0.865015
--job 355.25 415.5 379.51544 0.9133946 0.9133946
--job 1217.375 1300.0 1233.915 0.9491654 0.9491654
--job 28.875 567.875 477.86774 0.84150165 0.84150165
--job 21834.188 76880.25 76251.34 0.9918197 0.9918197
--job 2783.289 5313.1875 5175.255 0.97403955 0.97403955
--job 1246.0 1303.75 1258.2051 0.9650662 0.9650662
--job 1215.2812 1275.7188 1211.7078 0.9498236 0.9498236
--job 2096.5 3982.875 3862.8157 0.96985614 0.96985614
--job 381.375 446.9375 415.61026 0.9299069 0.9299069
--job 86.75 138.875 122.95071 0.8853336 0.8853336
--job 1233.25 1324.125 1283.9935 0.9696921 0.9696921
--job 222.75 275.73438 245.9317 0.89191526 0.89191526
--job 147.375 292.9375 269.24023 0.9191047 0.9191047
--job 3767.125 9152.1875 8983.056 0.98152006 0.98152006
--job 60.375 130.75 110.765945 0.84715825 0.84715825
--job 1229.125 1336.2812 1297.217 0.9707665 0.9707665
--job 103.5 148.125 133.35995 0.90032035 0.90032035
--job 119.875 198.625 173.23746 0.87218356 0.87218356
--job 542.75 852.25 811.3309 0.95198697 0.95198697
--job 95.8125 669.8594 601.14233 0.8974157 0.8974157
--job 1076.5625 6084.1875 5878.5776 0.96620584 0.96620584
--job 159.25 223.5 200.68315 0.8979112 0.8979112
--job 1237.25 1322.25 1280.1097 0.9681299 0.9681299
--job 46.5 113.375 94.78955 0.836071 0.836071
--job 206.625 272.875 250.49237 0.91797477 0.91797477
--job 65.0 132.75 118.248055 0.8907575 0.8907575
=pc 0 1220.8577 6713.57 6532.74 0.8963688 0.6125583
--job 12.6171875 143.75 110.78902 0.7707062 0.7707062
--job 136.0 302.0 271.28094 0.8982813 0.8982813
--job 77.75 275.625 241.41577 0.8758849 0.8758849
--job 66.958336 349.375 300.70456 0.86069286 0.86069286
--job 113.625 459.125 414.09503 0.9019222 0.9019222
--job 55.5625 136.9375 118.55318 0.8657466 0.8657466
--job 135.5625 507.9375 461.44943 0.90847677 0.90847677
--job 112.875 375.1875 337.55515 0.8996972 0.8996972
--job 1931.75 4863.5 4714.672 0.969399 0.969399
--job 117.875 316.125 281.82025 0.8914836 0.8914836
