# (priority) meanTasklength meanRealWCLength meanProcWorkload meanProcRatio minProcRatio
tr 3966.7612 10041.685 9833.583 0.891473 0.069716804
=pc 4 1656.9982 2498.0166 2427.7815 0.903958 0.5075155
--job 100.0 662.5 610.0673 0.92085636 0.92085636
--job 408.05 467.1 443.3078 0.9481411 0.86321944
--job 66.625 303.0 288.94232 0.953605 0.953605
--job 1224.875 1277.375 1240.4138 0.97106475 0.97106475
--job 176.6875 394.125 323.5866 0.8210253 0.8210253
--job 66.53125 159.07812 148.1142 0.9310783 0.9310783
--job 188.375 225.625 206.95197 0.91723865 0.91723865
--job 620.75 921.625 862.5482 0.9358993 0.9358993
--job 1146.0 8199.875 8008.6543 0.97668004 0.97668004
--job 346.90103 476.71875 433.38177 0.9103614 0.76634586
--job 1235.0938 1282.7031 1235.5232 0.96321833 0.96321833
--job 1292.8125 1358.3125 1309.9812 0.9644181 0.9644181
--job 34.8125 70.6875 35.875 0.5075155 0.5075155
--job 102.375 138.875 93.06732 0.6701517 0.6701517
--job 107.0625 157.125 130.87741 0.82084 0.6535494
--job 3050.9375 8230.6875 8034.253 0.9761339 0.9761339
--job 1221.5 1294.0 1260.4138 0.9740447 0.9740447
--job 1227.625 1276.125 1236.4138 0.9688814 0.9688814
--job 407.8125 556.975 496.7116 0.890954 0.8117813
--job 80.875 138.5625 125.40866 0.9044464 0.8232169
--job 433.6875 1200.0 1119.5675 0.9329729 0.9329729
--job 704.625 7353.25 7214.4326 0.9811216 0.9811216
--job 579.5 635.0 621.1732 0.9782255 0.9782255
--job 278.75 427.375 372.8943 0.8725225 0.8725225
--job 1282.75 1334.75 1296.4812 0.97132885 0.97132885
--job 117.625 265.125 258.63464 0.97551966 0.97551966
--job 68.375 100.5 88.69232 0.88251066 0.88251066
--job 438.625 502.125 459.07123 0.91426677 0.91053057
--job 29.25 85.0 55.75 0.65588236 0.65588236
--job 169.59375 211.6875 155.2284 0.7332903 0.7332903
--job 315.53125 371.07812 338.38348 0.91189283 0.91189283
--job 393.375 468.125 413.15393 0.8825718 0.8825718
--job 278.625 354.125 300.7693 0.84933084 0.84933084
--job 357.07144 591.3 543.13855 0.9213942 0.86337584
--job 1704.7465 1961.4858 1908.6249 0.9724655 0.95308733
--job 310.125 496.5 458.09625 0.9248169 0.8724182
--job 1699.5037 4102.7354 4022.1301 0.9807176 0.9737447
--job 268.75 4106.625 3999.1443 0.9738275 0.9738275
--job 1223.8125 1262.3125 1226.4138 0.9715612 0.9715612
--job 234.75 642.5 628.0193 0.97746193 0.97746193
--job 173.25 204.75 201.20197 0.9826714 0.9826714
--job 356.79166 488.05 455.67123 0.9349066 0.86847293
--job 1242.1875 1326.75 1271.4763 0.95833904 0.95833904
--job 447.0 557.375 505.34625 0.90665394 0.90665394
--job 16435.137 16809.7 16495.432 0.9811692 0.9792551
--job 110.125 139.625 86.06732 0.6164177 0.6164177
--job 596.4 667.625 636.4982 0.95334494 0.95105314
--job 1223.5 1300.25 1264.6638 0.9726313 0.9726313
--job 101.125 130.375 85.81732 0.6582345 0.6582345
--job 370.5625 452.5 420.34143 0.92893136 0.92893136
--job 1218.25 1257.5625 1227.2263 0.975877 0.975877
--job 557.65625 1180.125 1083.0243 0.91771996 0.91771996
--job 1216.625 1264.875 1236.1638 0.9773012 0.9773012
--job 52.1875 173.375 124.56732 0.71848494 0.71848494
--job 355.25 401.5 385.65393 0.96053284 0.96053284
--job 1217.375 1286.0 1256.5388 0.97709084 0.97709084
--job 28.875 486.875 451.0 0.9263158 0.9263158
--job 21834.188 77690.25 76348.01 0.9827232 0.9827232
--job 2783.289 5305.1875 5195.132 0.9792551 0.9792551
--job 1246.0 1289.75 1231.6638 0.9549632 0.9549632
--job 1215.2812 1262.7188 1235.3513 0.97832656 0.97832656
--job 2096.5 3965.875 3874.7996 0.9770352 0.9770352
--job 381.375 431.9375 389.96643 0.90283066 0.90283066
--job 86.75 126.875 96.69232 0.76210696 0.76210696
--job 1233.25 1309.125 1263.7888 0.9653691 0.9653691
--job 3914.284 4839.6094 4735.1206 0.9430971 0.89679533
--job 222.75 262.73438 209.68634 0.79809254 0.79809254
--job 9080.95 9275.8 9075.721 0.93851215 0.8736754
--job 470.5357 733.675 696.36554 0.9494685 0.9028362
--job 147.375 274.9375 238.69714 0.86818695 0.86818695
--job 3767.125 9162.1875 8980.941 0.98021805 0.98021805
--job 60.375 117.75 113.94232 0.96766305 0.96766305
--job 1229.125 1321.2812 1279.0701 0.96805286 0.96805286
--job 103.5 136.125 89.19232 0.65522367 0.65522367
--job 422.925 498.925 471.17123 0.9443887 0.9298197
--job 119.875 186.625 178.88464 0.9585245 0.9585245
--job 542.75 831.25 793.6059 0.9547139 0.9547139
--job 95.8125 617.8594 570.6142 0.9235341 0.9235341
--job 1076.5625 6006.1875 5864.837 0.9764658 0.9764658
--job 159.25 210.5 164.38464 0.7809247 0.7809247
--job 1237.25 1307.25 1257.9138 0.9622596 0.9622596
--job 46.5 100.375 53.875 0.53673726 0.53673726
--job 206.625 258.875 221.95197 0.8573712 0.8573712
--job 65.0 119.75 111.31732 0.929581 0.929581
=pc 0 5901.2393 6729.4062 6472.332 0.8271858 0.069716804
--job 12.6171875 112.75 100.13281 0.8880959 0.8880959
--job 136.0 281.0 251.63922 0.89551324 0.89551324
--job 1232.6333 5108.465 4993.315 0.97723913 0.9251334
--job 77.75 249.625 170.875 0.6845268 0.6845268
--job 66.958336 314.375 112.5 0.35785288 0.35785288
--job 113.625 424.125 416.13922 0.9811712 0.9811712
--job 55.5625 121.9375 66.375 0.54433626 0.54433626
--job 135.5625 472.9375 442.01422 0.9346144 0.9346144
--job 917.52 18481.875 17606.656 0.95245075 0.93779355
--job 21.0 488.75 474.25 0.96995264 0.94795054
--job 5427.107 15753.275 15530.763 0.98631847 0.97691303
--job 9.981618 50.262096 44.75605 0.89024746 0.5099715
--job 112.875 347.1875 339.95172 0.9791589 0.9791589
--job 1931.75 4799.5 4671.616 0.97335476 0.97335476
--job 117.875 293.125 281.88922 0.96166897 0.96166897
--job 3572.9375 18249.219 17963.803 0.9843527 0.98253024
