# (priority) meanTasklength meanRealWCLength meanProcWorkload meanProcRatio minProcRatio
--job 95.875 305.625 278.84186 0.912366 0.912366
--job 17339.562 30576.812 30326.584 0.9918164 0.9918164
--job 20.9375 51.6875 45.02776 0.8711538 0.8711538
--job 3833.5703 47313.33 46953.086 0.99238604 0.99238604
--job 330.125 1908.375 1838.6609 0.9634694 0.9634694
--job 124.0 804.625 765.1687 0.95096314 0.95096314
--job 131.125 480.75 457.2757 0.9511715 0.9511715
--job 1128.4688 4815.7656 4721.7617 0.98047996 0.98047996
--job 4237.66 6294.5664 6157.702 0.97825676 0.97825676
--job 28809.734 106813.66 106394.45 0.9960754 0.9960754
--job 2249.1875 4750.6875 4624.5 0.9734381 0.9734381
--job 2195.8438 4083.125 3981.301 0.97506225 0.97506225
--job 2867.5 20508.75 20340.232 0.99178314 0.99178314
--job 12554.375 28009.25 27763.955 0.99124235 0.99124235
--job 1001.375 1114.3125 1067.8928 0.9583423 0.9583423
--job 931.625 4041.0 3849.4722 0.9526039 0.9526039
--job 2649.9766 3581.1328 3484.8186 0.9731051 0.9731051
--job 1016.2344 2059.8828 1987.4171 0.9648205 0.9648205
--job 273.96875 6282.9844 6167.331 0.9815926 0.9815926
--job 114.40625 534.71875 511.52896 0.9566318 0.9566318
--job 547.25 1143.25 1097.3667 0.9598659 0.9598659
--job 393.875 571.3125 530.43616 0.9284519 0.9284519
--job 63.78125 609.78125 571.44714 0.9371347 0.9371347
--job 301.0 1016.0 967.6057 0.95236784 0.95236784
--job 15323.477 30576.469 30249.836 0.98931754 0.98931754
--job 670.375 25595.125 25403.7 0.992521 0.992521
--job 165.0 2161.25 2089.258 0.96668965 0.96668965
--job 23.625 317.375 295.11017 0.92984694 0.92984694
--job 554.5 926.5 882.2496 0.95223916 0.95223916
--job 496.875 1553.75 1486.0667 0.9564387 0.9564387
--job 460.5 2867.8127 2709.0806 0.9446504 0.9446504
--job 4434.8193 82058.125 79457.77 0.96831083 0.96831083
--job 1037.5 1134.25 1093.9546 0.96447396 0.96447396
--job 122.25 992.25 933.0605 0.9403482 0.9403482
--job 21267.0 31346.812 31090.135 0.9918117 0.9918117
--job 11051.167 70506.5 69690.53 0.98842704 0.98842704
--job 809.64844 8468.797 8315.608 0.9819114 0.9819114
--job 128.125 183.5 161.23721 0.8786769 0.8786769
--job 4.75 124.25 109.5 0.88128775 0.88128775
--job 19.625 284.875 265.6474 0.93250513 0.93250513
--job 674.75 10640.125 10479.308 0.98488575 0.98488575
--job 838.33984 979.01953 942.4459 0.9626426 0.9626426
--job 165.02344 326.7422 303.1142 0.92768615 0.92768615
--job 13445.75 56953.625 56607.41 0.9939211 0.9939211
--job 19865.5 63380.0 63112.62 0.99578136 0.99578136
