# (priority) meanTasklength meanRealWCLength meanProcWorkload meanProcRatio minProcRatio
--job 53.484375 160.9375 139.39389 0.8661368 0.8661368
--job 173.375 482.0 436.3881 0.90536946 0.90536946
--job 73.0 178.5 171.38155 0.9601207 0.9601207
--job 311.4375 1663.375 1558.5818 0.9369996 0.9369996
--job 221.375 569.6875 542.95715 0.9530789 0.9530789
--job 117.0 510.0 484.82233 0.95063204 0.95063204
--job 26.960938 191.57812 160.61719 0.83839 0.83839
--job 220.875 252.625 235.39462 0.93179464 0.93179464
--job 413.5 5681.25 5495.0986 0.9672341 0.9672341
--job 327.20312 480.51562 454.77942 0.94644046 0.94644046
--job 395.875 1045.375 1005.84845 0.96218914 0.96218914
--job 214.875 602.5625 581.33215 0.96476656 0.96476656
--job 65.875 296.625 258.69077 0.8721138 0.8721138
--job 246.0625 1542.625 1463.73 0.94885665 0.94885665
--job 72.5 158.25 151.63155 0.9581772 0.9581772
--job 120.8125 449.125 421.13483 0.93767846 0.93767846
--job 218.5 754.625 725.76965 0.961762 0.961762
--job 53.95703 320.77344 309.6817 0.9654219 0.9654219
--job 168.0 521.25 480.0131 0.9208884 0.9208884
--job 587.0 1158.0 1099.0522 0.9490952 0.9490952
--job 185.0 490.5 467.20386 0.9525053 0.9525053
--job 40.53125 133.39062 124.80015 0.9355991 0.9355991
--job 106.333336 719.24994 661.7761 0.920092 0.920092
--job 17.125 182.375 161.25 0.88416725 0.88416725
--job 756.4948 20775.875 19871.805 0.9564846 0.9564846
--job 10079.164 13450.16 13060.933 0.97106147 0.97106147
--job 350.0 2555.875 2484.2827 0.97198915 0.97198915
--job 40.0 157.25 148.19077 0.9423896 0.9423896
--job 123.125 240.25 215.94733 0.89884424 0.89884424
--job 1405.5 2704.25 2621.3813 0.9693561 0.9693561
--job 825.0 1132.5 1081.138 0.9546472 0.9546472
--job 261.1006 693.7344 659.2192 0.9502472 0.9502472
--job 3078.625 6777.25 6547.637 0.96612006 0.96612006
--job 211.9375 564.85156 547.5587 0.96938515 0.96938515
--job 204.25 526.5 483.95386 0.9191906 0.9191906
--job 67.75 196.75 159.94077 0.81291366 0.81291366
--job 20.21875 123.91016 101.69141 0.82068664 0.82068664
--job 309.21875 689.9375 642.2449 0.930874 0.930874
--job 82.0 183.0 166.88155 0.911921 0.911921
--job 59.101562 323.96875 291.80795 0.9007287 0.9007287
--job 3328.0 6851.75 6653.1206 0.9710104 0.9710104
--job 171.09375 611.4375 567.7169 0.9284954 0.9284954
--job 70.3125 357.8125 348.38153 0.9736427 0.9736427
--job 53.0 96.75 76.69077 0.7926695 0.7926695
--job 250.3125 300.0625 286.3354 0.9542525 0.9542525
--job 58.25 193.0 165.69077 0.8585014 0.8585014
--job 303.875 504.625 467.27615 0.92598695 0.92598695
--job 81.828125 154.46875 139.52217 0.90323883 0.90323883
--job 88.4375 223.4375 199.88155 0.89457476 0.89457476
--job 147.48438 335.58594 318.86465 0.9501729 0.9501729
--job 287.0 523.25 501.77615 0.95896065 0.95896065
--job 262.625 560.75 527.7104 0.9410796 0.9410796
--job 34.75 245.125 205.375 0.8378378 0.8378378
--job 203.4375 443.875 404.14136 0.9104846 0.9104846
--job 461.125 784.375 756.48 0.96443665 0.96443665
--job 15.875 131.25 112.375 0.8561905 0.8561905
--job 392.5 3147.7502 3010.5063 0.9563994 0.9563994
--job 383.0 473.5 427.90768 0.9037121 0.9037121
--job 110.85156 514.6875 494.65826 0.96108466 0.96108466
--job 138.8125 267.625 227.63483 0.85057384 0.85057384
--job 5.75 382.75 367.0 0.95885044 0.95885044
--job 90.961365 5207.815 4072.1873 0.7819378 0.7819378
--job 64.125 294.5 258.31577 0.8771333 0.8771333
--job 105.8125 198.375 192.38483 0.9698038 0.9698038
--job 55.296875 145.48438 122.12827 0.8394597 0.8394597
--job 109.75 280.75 268.82233 0.95751494 0.95751494
--job 56.375 251.25 237.32233 0.9445665 0.9445665
--job 203.0 475.75 435.45386 0.9152998 0.9152998
--job 733.0 1854.75 1770.5654 0.95461136 0.95461136
--job 125.25 258.375 231.94733 0.8977158 0.8977158
--job 91.109375 478.21875 423.7631 0.8861281 0.8861281
--job 130.8125 588.4375 547.4473 0.93034065 0.93034065
--job 125.1875 240.91406 214.54889 0.89056194 0.89056194
--job 74.25 145.25 137.88155 0.94927055 0.94927055
--job 73.5 144.1875 137.56905 0.9540983 0.9540983
--job 104.0 531.0 483.88153 0.91126466 0.91126466
--job 62.75 143.0 112.19077 0.78455085 0.78455085
--job 715.5 1049.0 1004.3155 0.95740277 0.95740277
--job 28.0 114.75 84.75 0.7385621 0.7385621
--job 13.390625 132.17188 115.78125 0.8759901 0.8759901
--job 4972.75 16179.125 15718.963 0.9715583 0.9715583
--job 142.625 262.875 253.01309 0.9624844 0.9624844
--job 8.625 128.125 116.5 0.9092683 0.9092683
--job 9809.75 15397.75 14944.413 0.9705582 0.9705582
--job 108.375 474.125 457.57233 0.96508795 0.96508795
--job 117.875 811.5 776.4473 0.9568051 0.9568051
--job 254.75 5395.0 5225.671 0.9686137 0.9686137
--job 169.875 429.25 388.1381 0.90422386 0.90422386
--job 142.1875 529.3125 512.88806 0.96897024 0.96897024
--job 85.0625 908.875 869.69403 0.9568907 0.9568907
--job 212.5 485.25 469.39462 0.9673253 0.9673253
--job 183.51562 491.48438 469.6726 0.95562065 0.95562065
--job 39.5 823.5625 797.0033 0.96775085 0.96775085
--job 14.875 300.125 278.25 0.9271137 0.9271137
