# (priority) meanTasklength meanRealWCLength meanProcWorkload meanProcRatio minProcRatio
--job 4416.875 16830.375 16713.828 0.9930752 0.9930752
--job 98.875 247.375 225.65503 0.9121982 0.9121982
--job 5877.5 24642.002 24229.719 0.9832691 0.9832691
--job 96.125 386.375 348.86288 0.9029127 0.9029127
--job 746.7321 11662.499 11136.151 0.9548684 0.9548684
--job 272.375 582.75 563.71497 0.9673358 0.9673358
--job 88.98637 5375.75 4679.582 0.8704984 0.8704984
--job 72.57031 201.14062 178.3796 0.8868402 0.8868402
--job 23.375 823.25 780.875 0.94852716 0.94852716
--job 260.0 392.625 379.64978 0.9667089 0.9334178
--job 687.4583 8754.25 8570.77 0.97837365 0.9729697
--job 121.75 3162.875 3082.1804 0.97448695 0.97448695
--job 436.78845 493.5791 467.29523 0.9484376 0.9048441
--job 315.8125 698.4375 660.96216 0.946344 0.946344
--job 7.75 96.375 82.625 0.8573281 0.8573281
--job 14.34375 246.04688 221.70312 0.9010605 0.9010605
--job 330.58334 2919.0 2780.5818 0.9525803 0.9525803
--job 150.75 491.625 450.50348 0.9163559 0.9163559
--job 153.0 1049.0 1009.96326 0.96278673 0.96278673
--job 183.125 339.25 323.20737 0.95271146 0.95271146
=pc 10 NaN NaN NaN NaN 1.0
=pc 9 47.510548 3391.5908 3315.3486 0.922329 0.75880814
--job 257.6111 5808.1 5746.1846 0.9788314 0.92430866
--job 45.829166 823.6875 690.59644 0.83842045 0.83842045
--job 44.198082 266.99323 223.677 0.83881927 0.7871259
--job 299.4471 5818.4062 5733.716 0.96809196 0.91709363
--job 24.453125 59.21875 51.783474 0.8744439 0.8744439
--job 507.875 1169.125 1117.0244 0.9554362 0.9554362
--job 225.1875 1631.625 1542.4523 0.9453473 0.9453473
--job 35.42133 834.0333 669.8673 0.8045352 0.7648296
--job 15.25 40.0 30.352325 0.75880814 0.75880814
--job 247.51042 4363.525 4307.6514 0.97214115 0.915075
--job 7032.953 11440.609 11269.324 0.9850283 0.9850283
--job 215.3434 4758.877 4658.757 0.95805645 0.88620955
--job 288.91318 5551.734 5490.606 0.97927475 0.9363448
--job 628.4344 6332.822 6265.3506 0.9781812 0.92318237
--job 5.5 399.9375 381.4375 0.95374274 0.95374274
--job 497.2216 4966.7593 4866.799 0.9681052 0.90412474
=pc 6 313.03833 605.4192 574.34906 0.94614726 0.7955262
--job 549.125 1035.625 1004.7999 0.9702353 0.9702353
--job 391.4453 1320.7765 1254.5557 0.9589506 0.92748827
--job 255.83035 500.53226 474.04938 0.95664287 0.91587526
--job 30.875 139.66072 129.178 0.9236189 0.7955262
--job 2.25 244.40625 232.15625 0.9498785 0.9498785
--job 217.875 318.5 288.01855 0.9042969 0.9042969
--job 332.4537 1003.58466 947.31213 0.9460647 0.9225424
--job 21.4375 621.9375 584.5 0.93980503 0.93980503
--job 166.25 263.75 254.5719 0.96583307 0.93166614
=pc 11 NaN NaN NaN NaN 1.0
=pc 2 9799.085 9602.282 9521.992 0.94673467 0.87885445
--job 4246.764 4385.8467 4277.155 0.9621483 0.9066284
--job 173.49219 262.28906 236.03659 0.89991015 0.89991015
--job 4906.6562 6645.0156 6605.1826 0.9929833 0.98596656
--job 240.97266 286.27344 268.9381 0.93944484 0.93944484
--job 6900.419 31141.865 30966.84 0.994281 0.9824877
--job 139.96875 268.125 253.21873 0.94440556 0.94440556
--job 138.49902 214.19922 188.24994 0.87885445 0.87885445
--job 10909.83 54181.617 53856.902 0.9940172 0.98476803
--job 105.58008 151.85547 140.04765 0.92224306 0.92224306
