# (priority) meanTasklength meanRealWCLength meanProcWorkload meanProcRatio minProcRatio
tr 3966.7612 10025.465 9894.028 0.9479231 0.7441176
=pc 4 1656.9982 2489.6428 2440.1348 0.9331252 0.8384775
--job 100.0 676.5 629.13226 0.9299812 0.9299812
--job 408.05 480.1 450.50122 0.9384782 0.9266065
--job 66.625 314.0 283.16302 0.90179306 0.90179306
--job 1224.875 1290.375 1236.6431 0.9583594 0.9583594
--job 176.6875 415.125 370.51553 0.8925397 0.8925397
--job 66.53125 169.07812 153.21228 0.9061626 0.9061626
--job 188.375 236.625 213.29747 0.9014156 0.9014156
--job 620.75 936.625 889.41125 0.94959164 0.94959164
--job 1146.0 8149.875 7992.263 0.98066086 0.98066086
--job 346.90103 492.31876 455.7578 0.92603207 0.9123052
--job 1235.0938 1295.7031 1234.305 0.95261407 0.95261407
--job 1292.8125 1372.3125 1322.9465 0.96402717 0.96402717
--job 34.8125 78.6875 69.50534 0.88330853 0.88330853
--job 102.375 148.875 129.43616 0.86942846 0.86942846
--job 107.0625 161.125 150.2186 0.9299749 0.8599499
--job 3050.9375 8180.6875 8009.2266 0.97904074 0.97904074
--job 1221.5 1308.0 1264.5902 0.9668121 0.9668121
--job 1227.625 1289.125 1232.0431 0.9557204 0.9557204
--job 407.8125 572.375 531.28503 0.92777985 0.92040646
--job 80.875 142.0625 131.67496 0.9290953 0.85819066
--job 433.6875 1228.0 1164.1321 0.9479903 0.9479903
--job 704.625 7312.25 7203.778 0.9851657 0.9851657
--job 579.5 649.0 620.5 0.9560863 0.9560863
--job 278.75 440.375 409.48148 0.92984724 0.92984724
--job 1282.75 1347.75 1298.1163 0.9631729 0.9631729
--job 117.625 276.125 256.61554 0.92934555 0.92934555
--job 68.375 108.5 90.97481 0.8384775 0.8384775
--job 438.625 515.725 478.7036 0.92820644 0.92312926
--job 29.25 94.0 83.40863 0.8873259 0.8873259
--job 169.59375 222.6875 199.38023 0.89533645 0.89533645
--job 315.53125 384.07812 356.67758 0.92865896 0.92865896
--job 393.375 482.125 454.27872 0.9422426 0.9422426
--job 278.625 366.125 332.08844 0.9070357 0.9070357
--job 357.07144 609.5 565.6876 0.9291032 0.9137801
--job 1704.7465 1961.6449 1913.0063 0.97324663 0.95441353
--job 310.125 514.3 479.30258 0.9331212 0.9022969
--job 1699.5037 4071.2688 4005.4548 0.985939 0.9727223
--job 268.75 4100.625 4023.0442 0.9810807 0.9810807
--job 1223.8125 1275.3125 1215.3969 0.95301884 0.95301884
--job 234.75 656.5 624.09595 0.9506412 0.9506412
--job 173.25 215.75 198.94647 0.92211574 0.92211574
--job 356.79166 503.65 469.67676 0.93346864 0.8887803
--job 1242.1875 1339.75 1290.6879 0.9633796 0.9633796
--job 447.0 572.375 547.7113 0.9569099 0.9569099
--job 16435.137 16650.7 16492.932 0.9899827 0.98710126
